Hylobates_lar_HQ622776.1	Hylobates_lar
Homo_sapiens_neanderthalensis_AM948965.1	Homo_sapiens_neanderthalensis
Homo_sapiens_sapiens_FN600416.1	Homo_sapiens_sapiens
Homo_sapiens_neanderthalensis_FM865410.1	Homo_sapiens_neanderthalensis
Homo_sapiens_denisova_KX663333.1	Homo_sapiens_denisova
Homo_sapiens_denisova_KT780370.1	Homo_sapiens_denisova
Homo_sapiens_sapiens_AJ842750.1	Homo_sapiens_sapiens
Gorilla_gorilla_gorilla_KF914214.1	Gorilla_gorilla_gorilla
Gorilla_gorilla_gorilla_NC_011120.1	Gorilla_gorilla_gorilla
Gorilla_gorilla_gorilla_EU095336.1	Gorilla_gorilla_gorilla
Gorilla_gorilla_gorilla_KU353722.1	Gorilla_gorilla_gorilla
Gorilla_gorilla_gorilla_KU353721.1	Gorilla_gorilla_gorilla
Gorilla_beringei_MH177754.1	Gorilla_beringei
Gorilla_beringei_MH177753.1	Gorilla_beringei
Gorilla_beringei_MH177752.1	Gorilla_beringei
Gorilla_beringei_MH177751.1	Gorilla_beringei
Pongo_abelii_A952	Pongo_abelii
Pongo_abelii_KB4661	Pongo_abelii
Pongo_abelii_KB5883	Pongo_abelii
Pongo_abelii_CR519	Pongo_abelii
Pongo_abelii_CRNA	Pongo_abelii
Pongo_abelii_A949	Pongo_abelii
Pongo_abelii_B018	Pongo_abelii
Pongo_abelii_KB550	Pongo_abelii
Pongo_abelii_B020	Pongo_abelii
Pongo_abelii_B017	Pongo_abelii
Pongo_abelii_CR011	Pongo_abelii
Pongo_abelii_CR247	Pongo_abelii
Pongo_tapanuliensis_KB9258	Pongo_tapanuliensis
Pongo_tapanuliensis_B019	Pongo_tapanuliensis
Pongo_tapanuliensis_CRBT	Pongo_tapanuliensis
Pongo_pygmaeus_CR536	Pongo_pygmaeus
Pongo_pygmaeus_A940	Pongo_pygmaeus
Pongo_pygmaeus_CR535	Pongo_pygmaeus
Pongo_pygmaeus_A938	Pongo_pygmaeus
Pan_troglodytes_verus_N016_KU308548.1	Pan_troglodytes_verus
Pan_troglodytes_verus_B005_KU308547.1	Pan_troglodytes_verus
Pan_troglodytes_verus_A994_KU308546.1	Pan_troglodytes_verus
Pan_troglodytes_verus_A993_KU308545.1	Pan_troglodytes_verus
Pan_troglodytes_troglodytes_B025_KU308543.1	Pan_troglodytes_troglodytes
Pan_troglodytes_troglodytes_B024_KU308542.1	Pan_troglodytes_troglodytes
Pan_troglodytes_troglodytes_B022_KU308541.1	Pan_troglodytes_troglodytes
Pan_troglodytes_troglodytes_B021_KU308540.1	Pan_troglodytes_troglodytes
Pan_troglodytes_troglodytes_A990_KU308539.1	Pan_troglodytes_troglodytes
Pan_troglodytes_ellioti_KU308533.1	Pan_troglodytes_ellioti
Pan_troglodytes_ellioti_KU308532.1	Pan_troglodytes_ellioti
Pan_troglodytes_ellioti_KU308531.1	Pan_troglodytes_ellioti
Pan_troglodytes_ellioti_KU308530.1	Pan_troglodytes_ellioti
Pan_troglodytes_ellioti_KU308529.1	Pan_troglodytes_ellioti
Pan_paniscus_PP30_GU189676.1	Pan_paniscus
Pan_paniscus_PP69_GU189670.1	Pan_paniscus
Pan_paniscus_PP05_GU189658.1	Pan_paniscus
Pan_paniscus_PP23_GU189661.1	Pan_paniscus
